model,accuracy,precision,recall,f1_score,cv_mean_accuracy,cv_std_accuracy
SVM,0.8733333333333333,0.8722345172127494,0.871984126984127,0.8714260545822929,0.8816666666666666,0.013591255358583413
Logistic Regression,0.87,0.8685570671940352,0.870079365079365,0.8680664373240154,0.8816666666666666,0.017598926734952423
Random Forest,0.8566666666666667,0.8559091371591371,0.8585714285714285,0.8564224945732044,0.8466666666666667,0.00889756521002606
Decision Tree,0.8066666666666666,0.8022848876507412,0.806190476190476,0.8038812232712015,0.7825,0.015456030825826177
KNN,0.78,0.8020876156374136,0.772063492063492,0.7797409658489943,0.7758333333333333,0.013281147875424362
